Statistics for ICV ML.  Version 1
Manager: RHEL64 U-2022.12-SP5.9338971 2023/10/26 
Flow=0
SharedRecipe=0
Subflows=
CMEM: 378.0.0 1455 0:0 913:913 913:913 28664:28664 913:913 913:913 913:913 1:1:0:1 12.95 0.04 0.03
CMEM: 389.0.0 1502 0:0 28227:28227 28227:28227 28227:28227 28227:28227 28227:28227 28227:28227 1:1:0:1 15.40 0.03 0.02
CMEM: 401.0.0 1554 0:0 28052:28052 28052:28052 28052:28052 28052:28052 28052:28052 28052:28052 1:1:0:1 14.36 0.05 0.04
CMEM: 390.0.0 1507 0:0 913:913 913:913 28227:28227 913:913 913:913 913:913 1:1:0:1 14.11 0.05 0.03
CMEM: 402.0.0 1559 0:0 913:913 913:913 28052:28052 913:913 913:913 913:913 1:1:0:1 13.07 0.04 0.03
CMEM: 413.0.0 1606 0:0 36707:36707 36707:36707 36707:36707 36707:36707 36707:36707 36707:36707 1:1:0:1 16.50 0.06 0.05
CMEM: 414.0.0 1611 0:0 243:243 243:243 36707:36707 243:243 243:243 243:243 1:1:0:1 15.19 0.04 0.03
CMEM: 318.0.0 1195 0:0 106083:106083 106083:106083 106083:106083 106083:106083 106083:106083 106083:106083 1:1:0:1 19.79 0.18 0.14
CMEM: 430.0.0 1679 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.87 0.00 0.00
CMEM: 431.0.0 1684 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.79 0.00 0.00
CMEM: 1855.0.0 8035 0:0 14:14 14:14 58:58 14:14 14:14 14:14 1:1:0:1 8.56 0.00 0.00
CMEM: 445.0.0 1726 0:0 22417:24758 22417:24758 27078:30785 20808:23149 22417:24758 20808:23149 9:2:0:2 23.13 0.18 0.15
CMEM: 735.0.0 3024 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 9:1:0:1 14.03 0.05 0.05
CMEM: 578.0.0 2318 0:0 4647:4647 4647:4647 4647:4647 4647:4647 4647:4647 4647:4647 9:1:0:1 14.35 0.06 0.05
CMEM: 425.0.0 1658 0:0 560593:560593 560593:560593 560593:560593 560593:560593 560593:560593 560593:560593 1:1:0:1 35.82 0.41 0.35
CMEM: 892.0.0 3730 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 9:1:0:1 12.27 0.02 0.01
CMEM: 1049.0.0 4436 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 9:1:0:1 12.43 0.02 0.01
CMEM: 1206.0.0 5142 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 9:1:0:1 11.77 0.02 0.01
CMEM: 1520.0.0 6554 0:0 489:3403 489:3403 435:3037 426:2974 489:3403 426:2974 11:7:0:7 14.84 0.01 0.01
CMEM: 1363.0.0 5848 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 9:1:0:1 11.90 0.02 0.02
CMEM: 1678.0.0 7265 0:0 16:135 16:135 60:531 16:135 16:135 16:135 13:9:0:9 15.73 0.01 0.00
CMEM: 741.0.0 3048 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 1:1:0:1 11.06 0.01 0.00
CMEM: 777.0.0 3204 0:0 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 4003:4003 1:1:0:1 9.18 0.00 0.00
CMEM: 584.0.0 2342 0:0 4632:4632 4632:4632 4632:4632 4632:4632 4632:4632 4632:4632 1:1:0:1 88.68 0.01 0.01
CMEM: 620.0.0 2498 0:0 4632:4632 4632:4632 4632:4632 4632:4632 4632:4632 4632:4632 1:1:0:1 9.18 0.00 0.00
